epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.751,1.94788,0.60648,0.90741,1.4887,0.00019994,0.00019994,0.00019994
2,74.5622,1.20171,0.82523,0.98843,0.64198,0.000387395,0.000387395,0.000387395
3,107.749,0.59756,0.94792,1,0.23585,0.000554295,0.000554295,0.000554295
4,141.063,0.24769,0.98843,1,0.06249,0.000654804,0.000654804,0.000654804
5,174.234,0.12796,0.99769,1,0.0265,0.000616738,0.000616738,0.000616738
6,207.707,0.07128,1,1,0.01499,0.000578672,0.000578672,0.000578672
7,241.662,0.05834,0.99884,1,0.01038,0.000540607,0.000540607,0.000540607
8,275.848,0.03995,1,1,0.00571,0.000502541,0.000502541,0.000502541
9,310.133,0.0394,1,1,0.00413,0.000464476,0.000464476,0.000464476
10,345.704,0.05559,0.99884,1,0.00645,0.000426411,0.000426411,0.000426411
11,380.598,0.03725,1,1,0.00448,0.000388345,0.000388345,0.000388345
12,415.116,0.03344,1,1,0.00226,0.00035028,0.00035028,0.00035028
13,449.682,0.02274,1,1,0.00167,0.000312214,0.000312214,0.000312214
14,484.164,0.02479,1,1,0.00139,0.000274148,0.000274148,0.000274148
15,518.541,0.02092,1,1,0.0015,0.000236083,0.000236083,0.000236083
16,553.004,0.02708,1,1,0.00173,0.000198018,0.000198018,0.000198018
17,587.372,0.0289,1,1,0.00163,0.000159952,0.000159952,0.000159952
18,621.666,0.03322,1,1,0.00122,0.000121887,0.000121887,0.000121887
19,656.244,0.01764,1,1,0.00108,8.3821e-05,8.3821e-05,8.3821e-05
20,690.372,0.02184,1,1,0.00095,4.57555e-05,4.57555e-05,4.57555e-05
